ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000125741	368.1309409843456	0.1990623596983706	0.14690766229007135	1.35501686294156	0.1754121844764276	0.2762058211283386
ENSG00000189045	5.149207818714807	1.1023355288311514	0.8135317983548574	1.3549999287800667	0.17541757971998517	0.2762058211283386
ENSG00000142552	68.93786345746123	-0.4169786125471814	0.3077841506696966	-1.3547761040972786	0.17548890215680635	0.2762927677744984
ENSG00000106302	1.5816672089400223	-3.243795881140933	2.394434248775051	-1.3547233058499726	0.17550572963675118	0.2762939085335698
ENSG00000068305	1579.8365599423546	-0.23139688671915443	0.17086971010321733	-1.35422999535362	0.1756630121983517	0.2765161434219558
ENSG00000204899	269.47494744128073	-0.22429781151650535	0.16566928354454266	-1.353888944996853	0.1757718109942439	0.276662024863704
ENSG00000158055	7.076111451202922	-1.047374478371671	0.773945505305361	-1.3532922811644579	0.17596227414581228	0.2769110061261898
ENSG00000142207	527.7504537669796	0.6079434422325364	0.44921910028877204	1.3533339117631717	0.17594898010438603	0.2769110061261898
ENSG00000261052	62.142703757355285	-0.7238903248719718	0.534935475182901	-1.3532292368990202	0.17598240771261137	0.2769172919601051
ENSG00000183474	335.9519682538958	0.3160721174896218	0.23368985585620425	1.35252818883208	0.1762064074125469	0.27724434097977807
ENSG00000188649	12.762723404508726	0.7288155177462133	0.5391533048857939	1.3517778916343555	0.17644637866539054	0.27754636139002065
ENSG00000255639	4.07012723861265	1.211811796794268	0.8964588281173126	1.3517762989062647	0.1764468883344414	0.27754636139002065
ENSG00000196664	2736.4302506198865	-0.5636818420281039	0.41698244783139204	-1.3518119166877502	0.1764354909945472	0.27754636139002065
ENSG00000141933	135.81323003133792	-0.22129099814342212	0.16373757209470235	-1.3514979812662185	0.17653596614131256	0.27766102365502254
ENSG00000104856	3436.946202248934	-0.2148631162838737	0.15903284773817206	-1.3510612388556311	0.17667581663272303	0.2778555143706931
ENSG00000077238	6238.818208947181	-0.2309839345791444	0.1710377662731845	-1.3504849812538642	0.1768604679817906	0.27812042064261416
ENSG00000145536	7.175707853874141	-0.9483323076447419	0.7026008083822186	-1.349745540185664	0.17709761911838812	0.2784678288886825
ENSG00000166246	4.488102219451667	1.0829704406329754	0.802875831545959	1.3488641681338032	0.1773805992594598	0.27888722826846984
ENSG00000038210	927.4077449614188	-0.49144474393736487	0.3644567681338148	-1.3484308343450078	0.17751985218924132	0.27908059591927825
ENSG00000211643	23.903965801864285	0.5073646701432004	0.3763549495765246	1.3481014949161376	0.1776257406987323	0.279195901329136
ENSG00000211746	2.727474270676841	-2.284218756098099	1.6943791300364974	-1.3481154929291983	0.17762123913070332	0.279195901329136
ENSG00000170043	842.930570435693	-0.16521373145531493	0.12257704195396141	-1.3478358493702873	0.17771118474781084	0.2793046173768378
ENSG00000112242	488.3530047688313	-0.23250508118729013	0.17259171348616	-1.3471393063487636	0.17793537092102446	0.2796313513704834
ENSG00000267335	1.0419424322835042	-4.284373586662041	3.1811063012079828	-1.3468187419688262	0.17803861702886878	0.27976798159001104
ENSG00000106536	3.2372236355308557	-1.4486712787428344	1.0757613113780653	-1.3466474983070977	0.17809378877984225	0.2798290501725763
ENSG00000139842	1340.2575959806782	0.23174538177835755	0.17226169391060278	1.3453100136042115	0.17852514116012397	0.2804392589111887
ENSG00000167664	4.363935495533994	-1.8238261029079519	1.3557109185071665	-1.3452912992072439	0.1785311822524137	0.2804392589111887
ENSG00000180596	14.039449690210247	-0.6398526633761681	0.47560034486994224	-1.3453578624951215	0.17850969601250327	0.2804392589111887
ENSG00000171517	4.432595341889558	-1.3041379646923088	0.9694621905748763	-1.3452179748433253	0.17855485315531822	0.2804507662430383
ENSG00000141574	55.45974968326204	0.3505817687475594	0.2607883963064871	1.3443150604582277	0.17884652749902105	0.28088317792477835
ENSG00000134538	1.689850449776687	-3.443874066717253	2.562185897599411	-1.3441156123542488	0.1789110042871741	0.2809433235499124
ENSG00000142002	1213.3301682728722	-0.16018576109787394	0.11917738355589189	-1.3440952999505138	0.17891757177001358	0.2809433235499124
ENSG00000015592	0.9850563202110766	-3.336341653037274	2.4824965404583224	-1.3439461439979745	0.17896580292674627	0.280993342479604
ENSG00000286143	0.7936447154652566	2.361483410892434	1.7575321708659872	1.343635951613257	0.1790661378840154	0.28112515269594074
ENSG00000272897	1.5035014638012243	-2.1439354669889243	1.5957897828160634	-1.343494920242914	0.17911176978057936	0.28114534314291284
ENSG00000012817	598.9977645621279	1.3805934880219317	1.0275956256394092	1.3435182610502783	0.1791042170672089	0.28114534314291284
